,unified_id,ident,gps_code,latitude_deg,longitude_deg,timezone
5269,51M,51M,K51M,44.674881,-84.122314,America/Detroit
5335,52S,52S,K52S,47.325007,-114.08098,America/Denver
5363,53K,53K,K53K,38.633534,-95.801848,America/Chicago
5433,54W,54W,K54W,42.717368,-89.423935,America/Chicago
5744,5D6,5D6,K5D6,40.648102,-81.068703,America/New_York
5745,5D7,5D7,K5D7,39.757562,-84.188324,America/New_York
5748,5E9,5E9,K5E9,40.407854,-83.215183,America/New_York
5774,5G4,5G4,K5G4,46.348853,-91.496587,America/Chicago
5788,5I6,5I6,K5I6,40.586809,-86.25761,America/Indiana/Indianapolis
5833,5K3,5K3,K5K3,41.06823,-96.338804,America/Chicago
5922,5NC3,5NC3,KBQ1,35.341702,-79.436897,America/New_York
5975,5OK3,5OK3,KOK1,36.488438,-95.140275,America/Chicago
6016,5R7,5R7,K5R7,30.454393,-88.211179,America/Chicago
6063,5U8,5U8,K5U8,47.596484,-110.266195,America/Denver
6064,5V4,5V4,K5V4,39.047983,-104.293224,America/Denver
6131,60G,60G,K60G,42.583836,-84.651547,America/Detroit
6308,63Y,63Y,K63Y,44.288989,-96.151642,America/Chicago
6350,64V,64V,K64V,40.831947,-101.164512,America/Chicago
6399,66B,66B,K66B,45.029622,-67.365967,America/New_York
6487,68C,68C,K68C,44.505501,-89.025101,America/Chicago
6525,68Y,68Y,K68Y,43.741201,-93.777181,America/Chicago
6594,6B0,6B0,K6B0,43.986392,-73.09556,America/New_York
6595,6B4,6B4,K6B4,43.016101,-75.169573,America/New_York
6596,6B6,6B6,K6B6,42.460298,-71.519031,America/New_York
6692,6IN7,6IN7,KC67,41.757,-85.091904,America/Indiana/Indianapolis
6694,6IN9,6IN9,K01E,41.700001,-85.039299,America/Indiana/Indianapolis
6708,6K9,6K9,K6K9,40.733406,-91.949531,America/Chicago
6734,6M8,6M8,K6M8,35.532941,-90.400137,America/Chicago
6869,6P3,6P3,K6P3,43.178699,-89.451302,America/Chicago
6943,6U6,6U6,K6U6,48.858996,-108.659543,America/Denver
6985,6XS8,6XS8,K6X6,33.338996,-97.102956,America/Chicago
6988,6Y2,6Y2,K6Y2,41.567632,-73.460259,America/New_York
7101,72S,72S,K72S,47.236602,-117.421424,America/Los_Angeles
7115,73F,73F,K73F,31.6238,-97.022499,America/Chicago
7269,76NY,76NY,KT27,41.492778,-74.104361,America/New_York
7280,76V,76V,K76V,42.519727,-105.020068,America/Denver
7332,78I,78I,K78I,39.500801,-86.691902,America/Indiana/Indianapolis
7367,79C,79C,K79C,44.159078,-88.561858,America/Chicago
7443,7B3,7B3,K7B3,42.961382,-70.830311,America/New_York
7445,7B9,7B9,K7B9,41.925302,-72.457066,America/New_York
7446,7C3,7C3,K7C3,43.032903,-91.346586,America/Chicago
7491,7G2,7G2,K7G2,47.4622,-100.487,America/Chicago
7505,7I2,7I2,K7I2,40.155392,-85.318923,America/Indiana/Indianapolis
7617,7N0,7N0,K7N0,29.952649,-90.08256,America/Chicago
7720,7Q7,7Q7,K7Q7,43.560802,-100.743642,America/Chicago
7726,7T3,7T3,KNGT,28.615516,-97.616302,America/Chicago
7833,80L,80L,K80L,34.38486,-118.41451,America/Los_Angeles
7853,80V,80V,K80V,41.88363,-106.18239,America/Denver
8049,85V,85V,K85V,35.700941,-109.517384,America/Denver
8195,89TE,89TE,KT89,29.278,-103.686997,America/Chicago
8227,8C5,8C5,K8C5,41.988612,-92.548002,America/Chicago
8283,8G8,8G8,K8G8,40.882676,-80.880849,America/New_York
8334,8K5,8K5,K3JA,37.854684,-95.748018,America/Chicago
8373,8M6,8M6,K8M6,47.770474,-98.184855,America/Chicago
8374,8M7,8M7,K8M7,37.18595,-87.67503,America/Chicago
8411,8N1,8N1,K8N1,40.484798,-76.263603,America/New_York
8412,8N4,8N4,K8N4,41.214536,-75.247162,America/New_York
8584,8W3,8W3,K8W3,47.809244,-119.637191,America/Los_Angeles
8619,8Y5,8Y5,K8Y5,46.112999,-94.9067,America/Chicago
8660,91C,91C,K91C,43.297901,-89.755798,America/Chicago
8847,95Z,95Z,K95Z,64.758904,-147.392235,America/Anchorage
8855,96FD,96FD,K9FD,27.349404,-80.735945,America/New_York
8899,97G,97G,K97G,43.000329,-84.595002,America/Detroit
8942,98L,98L,K98L,34.051886,-117.791988,America/Los_Angeles
9125,9I0,9I0,K9I0,40.222725,-90.022781,America/Chicago
9161,9K0,9K0,K9K0,38.358075,-96.544545,America/Chicago
9337,9R5,9R5,K9R5,27.888076,-97.349226,America/Chicago
9340,9S7,9S7,K9S7,47.555395,-109.38602,America/Denver
9397,9W8,9W8,K9W8,39.85272,-76.485114,America/New_York
9440,A05,A05,KA05,45.518934,-115.515416,America/Los_Angeles
9443,A26,A26,KA26,41.186491,-120.954499,America/Los_Angeles
9445,A28,A28,KA28,41.876301,-120.147003,America/Los_Angeles
9448,A51,A51,KA51,29.75588,-85.288972,America/New_York
12494,AZU,AZU,KAZU,35.277997,-94.224336,America/Chicago
12496,B04,B04,KB04,43.067552,-73.583737,America/New_York
12497,B06,B06,KB06,44.191499,-73.358889,America/New_York
12498,B10,B10,KB10,44.41,-70.146103,America/New_York
12499,B18,B18,KB18,43.4776,-71.237,America/New_York
12500,B70,B70,KB70,48.313703,-111.108126,America/Denver
16543,C00,C00,KC00,41.2486,-90.737099,America/Chicago
16544,C01,C01,KC01,39.655768,-75.015687,America/New_York
16546,C11,C11,KC11,41.794032,-91.864758,America/Chicago
16549,C25,C25,KC25,42.742001,-92.507896,America/Chicago
16550,C37,C37,KC37,42.594249,-89.379374,America/Chicago
16552,C40,C40,KC40,40.716702,-85.25,America/Indiana/Indianapolis
16553,C43,C43,KC43,42.769318,-84.964727,America/Detroit
16554,C44,C44,KC44,41.9557,-72.054398,America/New_York
16556,C54,C54,KC54,34.315722,-108.309889,America/Denver
16557,C55,C55,KC55,42.0373,-89.392899,America/Chicago
16558,C56,C56,KC56,41.377602,-87.681396,America/Chicago
16559,C59,C59,KC59,42.634102,-88.601097,America/Chicago
16560,C66,C66,KC66,40.929699,-90.631104,America/Chicago
16561,C72,C72,KC72,47.978058,-117.526975,America/Los_Angeles
16562,C82,C82,KC82,41.762501,-89.101501,America/Chicago
16563,C86,C86,KC86,42.37779,-89.564465,America/Chicago
16564,C89,C89,KC89,42.7033,-87.959,America/Chicago
16565,C92,C92,KC92,41.147213,-86.06456,America/Indiana/Indianapolis
16567,C97,C97,KC97,41.230099,-87.507698,America/Chicago
16568,C98,C98,KC98,41.148114,-87.459925,America/Chicago
18396,CDD,CDD,KCDD,48.2666015625,-92.483497619629,America/Chicago
18867,CJJ,CJJ,KCJJ,43.3652992249,-92.133102417,America/Chicago
20442,CSL,CSL,KCSL,35.3263,-120.7431,America/Los_Angeles
21634,D06,D06,KD06,48.292493,-97.393997,America/Chicago
21640,D20,D20,KD20,43.111072,-82.786725,America/Detroit
21650,D38,D38,KIUA,42.908902,-77.325226,America/New_York
21664,D63,D63,KD63,40.492018,-123.59813,America/Los_Angeles
21677,D88,D88,KD88,42.149612,-79.684503,America/New_York
22982,DTG,DTG,KDTG,41.133301,-88.440804,America/Chicago
23066,E40,E40,KE40,35.650069,-81.356737,America/New_York
23067,E53,E53,KE53,43.846233,-83.046792,America/Detroit
23068,E55,E55,KE55,38.801602,-123.530504,America/Los_Angeles
23072,E68,E68,KE68,33.0853,-112.161003,America/Phoenix
23075,E81,E81,KE81,33.28139,-111.128941,America/Phoenix
24673,EOD,EOD,KEOD,36.568199,-87.480797,America/Chicago
25452,F92,F92,KF92,35.876497,-97.95293,America/Chicago
26100,FEW,FEW,KFEW,41.133302,-104.866997,America/Denver
26106,FHK,FHK,KFHK,31.319633,-85.673806,America/Chicago
28018,FWB,FWB,KFWB,36.698497,-93.402249,America/Chicago
30356,H43,H43,KH43,41.210983,-73.969792,America/New_York
30359,H57,H57,KH57,37.758793,-90.616832,America/Chicago
30360,H63,H63,KH63,40.043098,-99.2509,America/Chicago
30361,H66,H66,KH66,36.722017,-95.622017,America/Chicago
30375,HAD,HAD,KHAD,42.923686,-106.310111,America/Denver
30513,HEY,HEY,KHEY,31.34600067,-85.65429688,America/Chicago
30514,HGT,HGT,KHGT,35.9935,-121.237,America/Los_Angeles
30762,HL2,HL2,KHL2,31.063611,-87.87,America/Chicago
31155,I19,I19,KGDK,39.690807,-83.992585,America/New_York
31158,I42,I42,KI42,38.584471,-86.465149,America/Indiana/Indianapolis
31159,I44,I44,KI44,39.765072,-84.343166,America/New_York
31162,I72,I72,KI72,40.049529,-86.160407,America/Indiana/Indianapolis
31164,I83,I83,KI83,38.604253,-86.151042,America/Indiana/Indianapolis
31165,I91,I91,KI91,38.042059,-87.316054,America/Chicago
31166,I96,I96,KI96,37.084681,-85.348661,America/Chicago
31700,ID67,ID67,KC53,44.808437,-114.808824,America/Boise
31708,ID76,ID76,KC48,45.396994,-115.485306,America/Los_Angeles
31824,IG22,IG22,K01H,41.206112,-86.404442,America/Indiana/Indianapolis
32405,IN02,IN02,K01F,41.552222,-84.917222,America/Indiana/Indianapolis
32506,IQ-0032,IQ-0032,KQMG,32.4106712341,41.9474945068,Asia/Baghdad
33812,JMC,JMC,KJMC,37.87852,-122.51297,America/Los_Angeles
37431,JPN,JPN,KJPN,38.874908,-77.056682,America/New_York
37432,JRA,JRA,KJRA,40.755107,-74.006896,America/New_York
37433,JRB,JRB,KJRB,40.700711,-74.008573,America/New_York
37473,K00C,K00C,K00C,37.203201,-107.869003,America/Denver
37474,K00F,K00F,K00F,45.470462,-105.457145,America/Denver
37475,K00M,K00M,K00M,31.953728,-89.23527,America/Chicago
37476,K00R,K00R,K00R,30.6859,-95.017899,America/Chicago
37477,K00V,K00V,KFLY,38.945801,-104.57,America/Denver
37478,K01,K01,K01,40.38750076293945,-95.78919982910156,America/Chicago
37479,K01G,K01G,K01G,42.741453,-78.052646,America/New_York
37480,K01M,K01M,K01M,34.490924,-88.200996,America/Chicago
37481,K01T,K01T,11T,30.37257,-100.190242,America/Chicago
37482,K02A,K02A,K02A,32.850498,-86.611397,America/Chicago
37483,K02C,K02C,K02C,43.090222,-88.17816,America/Chicago
37484,K02G,K02G,K02G,40.673302,-80.641403,America/New_York
37485,K03,K03,,43.969588,-74.427897,America/New_York
37486,K03B,K03B,K03B,37.126834,-92.621594,America/Chicago
37487,K03D,K03D,K03D,40.4473,-92.226997,America/Chicago
37488,K04A,K04A,K04A,31.7363,-86.262497,America/Chicago
37489,K04G,K04G,,41.130501,-80.619598,America/New_York
37490,K04M,K04M,K04M,33.930038,-89.343266,America/Chicago
37491,K04Y,K04Y,,46.883801,-96.350304,America/Chicago
37492,K05C,K05C,,41.519798,-87.399498,America/Chicago
37493,K05D,K05D,,47.966996,-102.477997,America/Chicago
37494,K05U,K05U,05U,39.6041984558,-116.004997253,America/Los_Angeles
37495,K06A,K06A,K06A,32.460499,-85.680002,America/Chicago
37496,K06C,K06C,06C,41.9892997742,-88.1011962891,America/Chicago
37497,K06D,K06D,K06D,48.8843,-99.620903,America/Chicago
37498,K06M,K06M,K06M,33.534622,-89.312975,America/Chicago
37499,K06U,K06U,06U,41.97600173949999,-114.657997131,America/Los_Angeles
37500,K07,K07,K07,37.935699,-91.813499,America/Chicago
37501,K07A,K07A,K07A,32.166801,-85.809702,America/Chicago
37502,K07F,K07F,K07F,32.528801,-94.971702,America/Chicago
37503,K07R,K07R,,27.6103,-97.752614,America/Chicago
37504,K07V,K07V,K07V,37.5238,-105.009002,America/Denver
37505,K08,K08,KK08,38.035179,-102.11673,America/Denver
37506,K08A,K08A,K08A,32.5294,-86.328201,America/Chicago
37507,K08C,K08C,,42.935902,-85.805,America/Detroit
37508,K08D,K08D,,48.3008,-102.405998,America/Chicago
37509,K08K,K08K,,40.651402,-98.079803,America/Chicago
37510,K08M,K08M,,32.7612,-89.530098,America/Chicago
37511,K09A,K09A,K09A,32.119301,-88.127502,America/Chicago
37512,K09J,K09J,09J,31.074499,-81.427803,America/New_York
37513,K09K,K09K,,41.634903,-99.342161,America/Chicago
37514,K09M,K09M,,33.991501,-90.078621,America/Chicago
37515,K09R,K09R,,30.774768,-94.458818,America/Chicago
37516,K0A3,K0A3,K0A3,35.985298,-85.809303,America/Chicago
37517,K0A4,K0A4,K0A4,36.363701,-82.308998,America/New_York
37518,K0A7,K0A7,K0A7,35.308258,-82.432948,America/New_York
37519,K0A8,K0A8,K0A8,32.93691,-87.090533,America/Chicago
37520,K0A9,K0A9,K0A9,36.371201,-82.173302,America/New_York
37521,K0B1,K0B1,K0B1,44.425201,-70.809896,America/New_York
37522,K0B4,K0B4,K0B4,42.6036,-97.252602,America/Chicago
37523,K0B5,K0B5,K0B5,42.5914,-72.522797,America/New_York
37524,K0B8,K0B8,K0B8,41.252099,-72.032218,America/New_York
37525,K0C0,K0C0,K0C0,42.4025,-88.632401,America/Chicago
37526,K0C4,K0C4,K0C4,42.113899,-96.728107,America/Chicago
37527,K0D8,K0D8,K0D8,44.986698,-99.952797,America/Chicago
37528,K0E0,K0E0,K0E0,34.9751,-106.0028,America/Denver
37529,K0E8,K0E8,K0E8,35.717701,-108.202003,America/Denver
37530,K0F2,K0F2,K0F2,33.6017,-97.775597,America/Chicago
37531,K0F4,K0F4,K0F4,41.286449,-98.989745,America/Chicago
37532,K0F7,K0F7,K0F7,35.388699,-95.600238,America/Chicago
37533,K0F9,K0F9,K0F9,34.198502,-96.6745,America/Chicago
37534,K0G3,K0G3,K0G3,40.400849,-96.170406,America/Chicago
37535,K0G6,K0G6,K0G6,41.4674,-84.506599,America/New_York
37536,K0G7,K0G7,K0G7,42.883598,-76.782246,America/New_York
37537,K0H1,K0H1,K0H1,39.004501,-99.892899,America/Chicago
37538,K0I8,K0I8,K0I8,38.366199,-84.283302,America/New_York
37539,K0J4,K0J4,K0J4,31.0425,-86.3116,America/Chicago
37540,K0J6,K0J6,KHDL,31.3643,-85.311798,America/Chicago
37541,K0J9,K0J9,,40.867802,-97.354011,America/Chicago
37542,K0K7,K0K7,K0K7,42.734831,-94.245315,America/Chicago
37543,K0KY,K0KY,K0KY,36.937254,-85.046645,America/Chicago
37544,K0L7,K0L7,K0L7,35.768299,-115.330002,America/Los_Angeles
37545,K0L9,K0L9,K0L9,36.3111,-114.463997,America/Los_Angeles
37546,K0M0,K0M0,K0M0,33.8848,-91.5345,America/Chicago
37547,K0M2,K0M2,K0M2,36.4753,-89.346199,America/Chicago
37548,K0M3,K0M3,K0M3,35.546001,-87.597298,America/Chicago
37549,K0M4,K0M4,K0M4,36.011101,-88.123299,America/Chicago
37550,K0M5,K0M5,K0M5,36.1166,-87.738197,America/Chicago
37551,K0M8,K0M8,K0M8,32.825901,-91.187698,America/Chicago
37552,K0M9,K0M9,K0M9,32.410702,-91.498703,America/Chicago
37553,K0O2,K0O2,,35.287128,-116.081657,America/Los_Angeles
37554,K0Q5,K0Q5,,40.028167,-124.074305,America/Los_Angeles
37555,K0R0,K0R0,K0R0,31.297001,-89.812798,America/Chicago
37556,K0R1,K0R1,K0R1,31.016199,-87.4468,America/Chicago
37557,K0R3,K0R3,KIYA,29.97579956,-92.084198,America/Chicago
37558,K0R4,K0R4,K0R4,31.562000274658203,-91.50650024414062,America/Chicago
37559,K0R5,K0R5,K0R5,31.963699,-92.660301,America/Chicago
37560,K0R6,K0R6,K0R6,33.52259826660156,-92.46029663085938,America/Chicago
37561,K0S0,K0S0,,46.976799,-118.586998,America/Los_Angeles
37562,K0S7,K0S7,K0S7,48.959,-119.412003,America/Los_Angeles
37563,K0S9,K0S9,0S9,48.053799,-122.810997,America/Los_Angeles
37564,K0V3,K0V3,0V3,40.515527,-98.946216,America/Chicago
37565,K0V4,K0V4,,37.141701,-79.016403,America/New_York
37566,K0V7,K0V7,,36.716444,-110.228444,America/Denver
37567,K0VG,K0VG,K0VG,36.654099,-83.217796,America/New_York
37568,K0W3,K0W3,K0W3,39.566799,-76.2024,America/New_York
37569,K10C,K10C,K10C,42.402735,-88.376942,America/Chicago
37570,K10G,K10G,K10G,40.537201,-81.954399,America/New_York
37571,K10U,K10U,K10U,41.953604,-116.182155,America/Los_Angeles
37572,K11,K11,K11,36.218201,-95.651901,America/Chicago
37573,K11A,K11A,K11A,31.883301,-85.484901,America/Chicago
37574,K11R,K11R,K11R,30.219,-96.374298,America/Chicago
37575,K11V,K11V,K11V,40.328815,-104.614563,America/Denver
37576,K12D,K12D,K12D,47.818154,-92.286099,America/Chicago
37577,K12G,K12G,K12G,40.872898,-82.697403,America/New_York
37578,K12J,K12J,K12J,31.0506,-87.065598,America/Chicago
37579,K12K,K12K,K12K,40.0463981628418,-98.06009674072266,America/Chicago
37580,K12N,K12N,,41.008598,-74.737999,America/New_York
37581,K12V,K12V,K12V,38.44089889526367,-82.20079803466797,America/New_York
37582,K12Y,K12Y,K12Y,44.441071,-93.916283,America/Chicago
37583,K13C,K13C,K13C,43.452099,-85.264801,America/Detroit
37584,K13K,K13K,K13K,37.851601,-96.291702,America/Chicago
37585,K14A,K14A,K14A,35.612998962402344,-80.89939880371094,America/New_York
37586,K14F,K14F,16TX,32.849674,-100.136648,America/Chicago
37587,K14G,K14G,K14G,41.333099,-83.161201,America/New_York
37588,K14J,K14J,K14J,31.41,-86.090302,America/Chicago
37589,K14M,K14M,K14M,33.182598,-90.830704,America/Chicago
37590,K14Y,K14Y,K14Y,45.898602,-94.873901,America/Chicago
37591,K15F,K15F,K15F,33.19150161743164,-99.71790313720705,America/Chicago
37592,K15J,K15J,15J,31.1378,-83.4533,America/New_York
37593,K15M,K15M,K15M,34.772300720214844,-88.16590118408203,America/Chicago
37594,K16D,K16D,K16D,46.610828,-95.60586,America/Chicago
37595,K16G,K16G,K16G,41.094101,-83.212502,America/New_York
37596,K16J,K16J,,31.743299,-84.419296,America/New_York
37597,K17,K17,K17,37.583407,-100.469885,America/Chicago
37598,K17G,K17G,,40.781803,-82.974408,America/New_York
37599,K17J,K17J,,31.006901,-84.877602,America/New_York
37600,K17K,K17K,K17K,36.7743,-102.510002,America/Chicago
37601,K17M,K17M,K17M,31.862699508666992,-89.80059814453125,America/Chicago
37602,K17N,K17N,K17N,39.705502,-75.032997,America/New_York
37603,K17V,K17V,K17V,40.627519,-102.600911,America/Denver
37604,K18A,K18A,K18A,34.340099,-83.133499,America/New_York
37605,K18I,K18I,K18I,36.695525,-84.391345,America/New_York
37606,K18V,K18V,K18V,40.099998,-104.700996,America/Denver
37607,K19A,K19A,KJCA,34.174,-83.560699,America/New_York
37608,K19M,K19M,K19M,33.1255,-90.025597,America/Chicago
37609,K19N,K19N,K19N,39.7784,-74.9478,America/New_York
37610,K19S,K19S,,37.497018,-100.834343,America/Chicago
37611,K1A0,K1A0,1AA0,35.18797,-85.176755,America/New_York
37612,K1A3,K1A3,K1A3,35.016201,-84.346298,America/New_York
37613,K1A4,K1A4,K1A4,31.103788,-86.06248,America/Chicago
37614,K1A5,K1A5,K1A5,35.222599029541016,-83.41899871826172,America/New_York
37615,K1A6,K1A6,K1A6,36.610257,-83.737385,America/New_York
37616,K1A7,K1A7,K1A7,36.395864,-85.641346,America/Chicago
37617,K1A9,K1A9,K1A9,32.438702,-86.512703,America/Chicago
37618,K1B0,K1B0,K1B0,45.004101,-69.237,America/New_York
37619,K1B1,K1B1,K1B1,42.291302,-73.710297,America/New_York
