corridor,month,density_pct,cluster_label,slab,intensity,dominant_model,all_models
Atlanta -> St. Louis,Jun,7.78,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> St. Louis,Jul,3.11,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Atlanta -> St. Louis,Aug,5.06,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> St. Louis,Sep,5.45,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> St. Louis,Oct,9.73,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> St. Louis,Nov,9.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> St. Louis,Dec,10.89,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Bay Area -> Houston,Jan,13.33,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Bay Area -> Houston,Feb,8.89,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Bay Area -> Houston,Mar,11.11,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Bay Area -> Houston,Apr,2.22,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Bay Area -> Houston,May,4.44,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Bay Area -> Houston,Jun,4.44,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Bay Area -> Houston,Jul,8.89,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Bay Area -> Houston,Aug,6.67,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Bay Area -> Houston,Sep,2.22,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Bay Area -> Houston,Oct,13.33,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Bay Area -> Houston,Nov,20.0,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Bay Area -> Houston,Dec,4.44,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Atlanta,Jan,17.65,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Charlotte -> Atlanta,Feb,5.88,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Atlanta,Mar,5.88,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Atlanta,Apr,11.76,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> Atlanta,May,8.82,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> Atlanta,Jun,2.94,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> Atlanta,Jul,5.88,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Atlanta,Aug,0.0,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> Atlanta,Sep,5.88,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Atlanta,Oct,2.94,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> Atlanta,Nov,11.76,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> Atlanta,Dec,20.59,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Charlotte -> Nashville,Jan,10.48,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> Nashville,Feb,6.45,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> Nashville,Mar,15.32,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Charlotte -> Nashville,Apr,4.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Nashville,May,8.06,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> Nashville,Jun,4.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> Nashville,Jul,2.42,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> Nashville,Aug,2.42,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> Nashville,Sep,7.26,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> Nashville,Oct,12.9,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Charlotte -> Nashville,Nov,13.71,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Charlotte -> Nashville,Dec,11.29,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> North Florida,Jan,13.79,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Charlotte -> North Florida,Feb,17.24,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Charlotte -> North Florida,Mar,9.48,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> North Florida,Apr,6.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> North Florida,May,13.79,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Charlotte -> North Florida,Jun,3.45,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> North Florida,Jul,6.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> North Florida,Aug,6.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> North Florida,Sep,6.03,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> North Florida,Oct,2.59,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Charlotte -> North Florida,Nov,5.17,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> North Florida,Dec,7.76,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Jan,9.65,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> South Florida,Feb,8.15,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Mar,10.5,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> South Florida,Apr,9.75,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> South Florida,May,8.43,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Jun,7.12,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Jul,5.72,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> South Florida,Aug,4.59,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Charlotte -> South Florida,Sep,6.09,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Oct,8.62,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Charlotte -> South Florida,Nov,9.0,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Charlotte -> South Florida,Dec,12.37,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Chicago -> Houston,Jan,5.6,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Chicago -> Houston,Feb,6.47,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> Houston,Mar,9.91,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> Houston,Apr,11.64,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> Houston,May,9.91,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> Houston,Jun,9.05,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> Houston,Jul,6.03,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> Houston,Aug,3.45,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Chicago -> Houston,Sep,6.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> Houston,Oct,6.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> Houston,Nov,13.79,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Chicago -> Houston,Dec,10.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> South Florida,Jan,9.6,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> South Florida,Feb,11.96,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> South Florida,Mar,12.21,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Chicago -> South Florida,Apr,7.97,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> South Florida,May,6.59,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Chicago -> South Florida,Jun,4.07,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Chicago -> South Florida,Jul,3.74,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Chicago -> South Florida,Aug,3.25,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Chicago -> South Florida,Sep,3.17,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Chicago -> South Florida,Oct,9.03,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Chicago -> South Florida,Nov,12.45,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Chicago -> South Florida,Dec,15.95,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
DMV -> Atlanta,Jan,7.95,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Atlanta,Feb,7.53,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Atlanta,Mar,10.88,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Atlanta,Apr,12.13,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
DMV -> Atlanta,May,12.13,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
DMV -> Atlanta,Jun,5.02,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Atlanta,Jul,5.86,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Atlanta,Aug,4.6,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Atlanta,Sep,7.53,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Atlanta,Oct,5.44,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Atlanta,Nov,11.3,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Atlanta,Dec,9.62,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Nashville,Jan,10.47,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Nashville,Feb,6.28,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Nashville,Mar,10.99,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Nashville,Apr,12.57,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
DMV -> Nashville,May,9.95,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Nashville,Jun,5.24,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Nashville,Jul,4.19,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> Nashville,Aug,6.81,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Nashville,Sep,6.81,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Nashville,Oct,8.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> Nashville,Nov,9.42,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> Nashville,Dec,8.38,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> North Florida,Jan,9.55,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> North Florida,Feb,8.49,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> North Florida,Mar,10.88,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> North Florida,Apr,7.96,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> North Florida,May,13.79,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
DMV -> North Florida,Jun,5.31,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> North Florida,Jul,5.04,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> North Florida,Aug,2.39,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
DMV -> North Florida,Sep,7.69,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> North Florida,Oct,9.55,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> North Florida,Nov,10.88,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> North Florida,Dec,8.49,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> South Florida,Jan,11.39,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> South Florida,Feb,10.22,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> South Florida,Mar,10.49,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> South Florida,Apr,9.78,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> South Florida,May,8.34,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> South Florida,Jun,5.92,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> South Florida,Jul,4.22,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> South Florida,Aug,4.48,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> South Florida,Sep,4.13,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
DMV -> South Florida,Oct,7.53,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
DMV -> South Florida,Nov,10.4,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
DMV -> South Florida,Dec,13.09,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Jan,9.39,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Feb,11.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Mar,11.04,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Apr,8.57,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,May,8.57,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Jun,5.6,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Jul,2.14,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Aug,5.6,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Sep,7.08,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Oct,9.39,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Nov,11.7,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> Phoenix Valley,Dec,9.72,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> San Antonio,Jan,17.74,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Dallas -> San Antonio,Feb,11.29,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> San Antonio,Mar,14.52,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Dallas -> San Antonio,Apr,8.06,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> San Antonio,May,8.06,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> San Antonio,Jun,3.23,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Dallas -> San Antonio,Jul,4.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> San Antonio,Aug,4.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> San Antonio,Sep,1.61,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Dallas -> San Antonio,Oct,0.0,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Dallas -> San Antonio,Nov,20.97,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Dallas -> San Antonio,Dec,4.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> South Florida,Jan,9.82,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> South Florida,Feb,12.12,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Dallas -> South Florida,Mar,11.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> South Florida,Apr,9.66,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> South Florida,May,11.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Dallas -> South Florida,Jun,7.21,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> South Florida,Jul,4.14,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> South Florida,Aug,5.52,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> South Florida,Sep,4.14,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> South Florida,Oct,5.67,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Dallas -> South Florida,Nov,8.74,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Dallas -> South Florida,Dec,10.58,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> North Florida,Jan,12.34,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Denver -> North Florida,Feb,12.34,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Denver -> North Florida,Mar,15.58,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Denver -> North Florida,Apr,5.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,May,5.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,Jun,4.55,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,Jul,9.09,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> North Florida,Aug,5.19,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,Sep,9.09,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> North Florida,Oct,5.84,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,Nov,4.55,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> North Florida,Dec,9.74,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Jan,7.97,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Feb,10.9,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Mar,14.47,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Apr,9.01,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> Phoenix Valley,May,8.18,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Jun,8.6,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Jul,3.98,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Aug,6.08,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Sep,3.77,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Oct,9.64,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Nov,8.39,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> Phoenix Valley,Dec,9.01,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> South Florida,Jan,15.91,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Denver -> South Florida,Feb,11.93,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> South Florida,Mar,15.91,winter-spring-peak,> 15%,5,Phenom 300,Phenom 300
Denver -> South Florida,Apr,11.36,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Denver -> South Florida,May,4.55,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> South Florida,Jun,2.84,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Denver -> South Florida,Jul,6.25,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> South Florida,Aug,5.11,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Denver -> South Florida,Sep,3.41,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Denver -> South Florida,Oct,6.25,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Denver -> South Florida,Nov,3.98,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Denver -> South Florida,Dec,12.5,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Jan,8.57,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Feb,11.43,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Mar,8.57,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Apr,5.71,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,May,5.71,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Jun,5.71,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Jul,5.71,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Aug,5.71,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Sep,11.43,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Oct,2.86,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Nov,14.29,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Detroit -> Phoenix Valley,Dec,14.29,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Detroit -> South Florida,Jan,11.14,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,Feb,11.45,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,Mar,10.54,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,Apr,9.04,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,May,6.48,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Detroit -> South Florida,Jun,4.52,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> South Florida,Jul,4.22,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> South Florida,Aug,3.61,winter-spring-peak,< 4%,0,Phenom 300,Phenom 300
Detroit -> South Florida,Sep,5.42,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Detroit -> South Florida,Oct,9.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,Nov,10.69,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Detroit -> South Florida,Dec,13.55,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
