corridor,month,density_pct,seasonality_index,cluster_label
Charlotte -> Denver,Mar,8.71,1.0452,core-utilization
Charlotte -> Denver,May,4.71,0.5652,core-utilization
Charlotte -> Denver,Nov,4.27,0.5124,core-utilization
Charlotte -> Denver,Oct,7.73,0.9276,core-utilization
Charlotte -> Denver,Sep,8.27,0.9924,core-utilization
Chicago -> Denver,Apr,4.24,0.5088,core-utilization
Chicago -> Denver,Aug,9.2,1.104,core-utilization
Chicago -> Denver,Dec,11.21,1.3452,core-utilization
Chicago -> Denver,Feb,13.9,1.668,core-utilization
Chicago -> Denver,Jan,11.89,1.4268,core-utilization
Chicago -> Denver,Jul,10.03,1.2036,core-utilization
Chicago -> Denver,Jun,8.32,0.9984,core-utilization
Chicago -> Denver,Mar,10.96,1.3152,core-utilization
Chicago -> Denver,May,3.82,0.4584,core-utilization
Chicago -> Denver,Nov,4.6,0.552,core-utilization
Chicago -> Denver,Oct,5.06,0.6072,core-utilization
Chicago -> Denver,Sep,6.77,0.8124,core-utilization
Chicago -> North Florida,Apr,2.22,0.2664,core-utilization
Chicago -> North Florida,Aug,15.56,1.8672,core-utilization
Chicago -> North Florida,Dec,4.44,0.5328,core-utilization
Chicago -> North Florida,Feb,5.56,0.6672,core-utilization
Chicago -> North Florida,Jan,8.89,1.0668,core-utilization
Chicago -> North Florida,Jul,12.22,1.4664,core-utilization
Chicago -> North Florida,Jun,7.78,0.9336,core-utilization
Chicago -> North Florida,Mar,10.0,1.2,core-utilization
Chicago -> North Florida,May,11.11,1.3332,core-utilization
Chicago -> North Florida,Nov,13.33,1.5996,core-utilization
Chicago -> North Florida,Oct,4.44,0.5328,core-utilization
Chicago -> North Florida,Sep,4.44,0.5328,core-utilization
DMV -> Denver,Apr,4.56,0.5472,core-utilization
DMV -> Denver,Aug,9.2,1.104,core-utilization
DMV -> Denver,Dec,11.38,1.3656,core-utilization
DMV -> Denver,Feb,7.94,0.9528,core-utilization
DMV -> Denver,Jan,8.43,1.0116,core-utilization
DMV -> Denver,Jul,10.74,1.2888,core-utilization
DMV -> Denver,Jun,8.64,1.0368,core-utilization
DMV -> Denver,Mar,10.88,1.3056,core-utilization
DMV -> Denver,May,5.69,0.6828,core-utilization
DMV -> Denver,Nov,4.99,0.5988,core-utilization
DMV -> Denver,Oct,7.79,0.9348,core-utilization
DMV -> Denver,Sep,9.76,1.1712,core-utilization
Dallas -> Denver,Apr,3.18,0.3816,core-utilization
Dallas -> Denver,Aug,8.3,0.996,core-utilization
Dallas -> Denver,Dec,17.31,2.0772,core-utilization
Dallas -> Denver,Feb,15.37,1.8444,core-utilization
Dallas -> Denver,Jan,12.54,1.5048,core-utilization
Dallas -> Denver,Jul,6.18,0.7416,core-utilization
Dallas -> Denver,Jun,6.54,0.7848,core-utilization
Dallas -> Denver,Mar,12.01,1.4412,core-utilization
Dallas -> Denver,May,3.18,0.3816,core-utilization
Dallas -> Denver,Nov,3.89,0.4668,core-utilization
Dallas -> Denver,Oct,5.65,0.678,core-utilization
Dallas -> Denver,Sep,5.83,0.6996,core-utilization
Dallas -> Seattle,Apr,6.46,0.7752,core-utilization
Dallas -> Seattle,Aug,10.62,1.2744,core-utilization
Dallas -> Seattle,Dec,8.11,0.9732,core-utilization
Dallas -> Seattle,Feb,7.23,0.8676,core-utilization
Dallas -> Seattle,Jan,6.68,0.8016,core-utilization
Dallas -> Seattle,Jul,11.61,1.3932,core-utilization
Dallas -> Seattle,Jun,8.87,1.0644,core-utilization
Dallas -> Seattle,Mar,8.11,0.9732,core-utilization
Dallas -> Seattle,May,7.56,0.9072,core-utilization
Dallas -> Seattle,Nov,7.67,0.9204,core-utilization
Dallas -> Seattle,Oct,8.0,0.96,core-utilization
Dallas -> Seattle,Sep,9.09,1.0908,core-utilization
Denver -> Atlanta,Apr,6.07,0.7284,core-utilization
Denver -> Atlanta,Aug,13.58,1.6296,core-utilization
Denver -> Atlanta,Dec,7.82,0.9384,core-utilization
Denver -> Atlanta,Feb,7.1,0.852,core-utilization
Denver -> Atlanta,Jan,7.61,0.9132,core-utilization
Denver -> Atlanta,Jul,14.51,1.7412,core-utilization
Denver -> Atlanta,Jun,9.26,1.1112,core-utilization
Denver -> Atlanta,Mar,8.13,0.9756,core-utilization
Denver -> Atlanta,May,3.81,0.4572,core-utilization
Denver -> Atlanta,Nov,4.73,0.5676,core-utilization
Denver -> Atlanta,Oct,6.69,0.8028,core-utilization
Denver -> Atlanta,Sep,10.7,1.284,core-utilization
Denver -> Boston,Apr,5.53,0.6636,core-utilization
Denver -> Boston,Aug,12.75,1.53,core-utilization
Denver -> Boston,Dec,5.67,0.6804,core-utilization
Denver -> Boston,Feb,8.89,1.0668,core-utilization
Denver -> Boston,Jan,7.14,0.8568,core-utilization
Denver -> Boston,Jul,13.38,1.6056,core-utilization
Denver -> Boston,Jun,9.8,1.176,core-utilization
Denver -> Boston,Mar,8.89,1.0668,core-utilization
Denver -> Boston,May,5.6,0.672,core-utilization
Denver -> Boston,Nov,4.48,0.5376,core-utilization
Denver -> Boston,Oct,7.49,0.8988,core-utilization
Denver -> Boston,Sep,10.36,1.2432,core-utilization
Denver -> Charlotte,Apr,4.84,0.5808,core-utilization
Denver -> Charlotte,Aug,12.97,1.5564,core-utilization
Denver -> Charlotte,Dec,7.55,0.906,core-utilization
Denver -> Charlotte,Feb,9.78,1.1736,core-utilization
Denver -> Charlotte,Jan,10.36,1.2432,core-utilization
Denver -> Charlotte,Jul,9.58,1.1496,core-utilization
Denver -> Charlotte,Jun,8.13,0.9756,core-utilization
Denver -> Charlotte,Mar,8.52,1.0224,core-utilization
Denver -> Charlotte,May,4.84,0.5808,core-utilization
Denver -> Charlotte,Nov,5.23,0.6276,core-utilization
Denver -> Charlotte,Oct,9.58,1.1496,core-utilization
Denver -> Charlotte,Sep,8.62,1.0344,core-utilization
Denver -> Chicago,Apr,3.15,0.378,core-utilization
Denver -> Chicago,Aug,10.83,1.2996,core-utilization
Denver -> Chicago,Dec,10.24,1.2288,core-utilization
Denver -> Chicago,Feb,8.07,0.9684,core-utilization
Denver -> Chicago,Jan,9.45,1.134,core-utilization
Denver -> Chicago,Jul,16.54,1.9848,core-utilization
Denver -> Chicago,Jun,5.51,0.6612,core-utilization
Denver -> Chicago,Mar,8.66,1.0392,core-utilization
Denver -> Chicago,May,6.1,0.732,core-utilization
Denver -> Chicago,Nov,3.74,0.4488,core-utilization
Denver -> Chicago,Oct,4.72,0.5664,core-utilization
Denver -> Chicago,Sep,12.99,1.5588,core-utilization
Denver -> DMV,Apr,5.52,0.6624,core-utilization
Denver -> DMV,Aug,11.64,1.3968,core-utilization
Denver -> DMV,Dec,7.39,0.8868,core-utilization
Denver -> DMV,Feb,7.91,0.9492,core-utilization
Denver -> DMV,Jan,11.87,1.4244,core-utilization
Denver -> DMV,Jul,10.82,1.2984,core-utilization
Denver -> DMV,Jun,7.39,0.8868,core-utilization
Denver -> DMV,Mar,11.04,1.3248,core-utilization
Denver -> DMV,May,5.37,0.6444,core-utilization
Denver -> DMV,Nov,3.88,0.4656,core-utilization
Denver -> DMV,Oct,7.54,0.9048,core-utilization
Denver -> DMV,Sep,9.63,1.1556,core-utilization
Denver -> Detroit,Apr,3.11,0.3732,core-utilization
Denver -> Detroit,Aug,12.61,1.5132,core-utilization
Denver -> Detroit,Dec,8.23,0.9876,core-utilization
Denver -> Detroit,Feb,7.68,0.9216,core-utilization
Denver -> Detroit,Jan,7.5,0.9,core-utilization
Denver -> Detroit,Jul,13.71,1.6452,core-utilization
Denver -> Detroit,Jun,7.5,0.9,core-utilization
Denver -> Detroit,Mar,10.6,1.272,core-utilization
Denver -> Detroit,May,5.3,0.636,core-utilization
Denver -> Detroit,Nov,4.75,0.57,core-utilization
Denver -> Detroit,Oct,6.58,0.7896,core-utilization
Denver -> Detroit,Sep,12.43,1.4916,core-utilization
Denver -> Houston,Apr,4.68,0.5616,core-utilization
Denver -> Houston,Aug,14.51,1.7412,core-utilization
Denver -> Houston,Dec,5.77,0.6924,core-utilization
Denver -> Houston,Feb,7.18,0.8616,core-utilization
Denver -> Houston,Jan,8.74,1.0488,core-utilization
Denver -> Houston,Jul,15.6,1.872,core-utilization
Denver -> Houston,Jun,9.36,1.1232,core-utilization
Denver -> Houston,Mar,9.36,1.1232,core-utilization
Denver -> Houston,May,3.9,0.468,core-utilization
Denver -> Houston,Nov,4.52,0.5424,core-utilization
Denver -> Houston,Oct,6.86,0.8232,core-utilization
Denver -> Houston,Sep,9.52,1.1424,core-utilization
Denver -> Nashville,Apr,4.01,0.4812,core-utilization
Denver -> Nashville,Aug,12.89,1.5468,core-utilization
Denver -> Nashville,Dec,4.58,0.5496,core-utilization
Denver -> Nashville,Feb,6.3,0.756,core-utilization
Denver -> Nashville,Jan,9.17,1.1004,core-utilization
Denver -> Nashville,Jul,12.89,1.5468,core-utilization
Denver -> Nashville,Jun,8.88,1.0656,core-utilization
Denver -> Nashville,Mar,10.6,1.272,core-utilization
Denver -> Nashville,May,6.59,0.7908,core-utilization
Denver -> Nashville,Nov,8.02,0.9624,core-utilization
Denver -> Nashville,Oct,8.02,0.9624,core-utilization
Denver -> Nashville,Sep,8.02,0.9624,core-utilization
Denver -> New York City,Apr,4.59,0.5508,core-utilization
Denver -> New York City,Aug,10.88,1.3056,core-utilization
Denver -> New York City,Dec,6.81,0.8172,core-utilization
Denver -> New York City,Feb,11.82,1.4184,core-utilization
Denver -> New York City,Jan,11.52,1.3824,core-utilization
Denver -> New York City,Jul,9.73,1.1676,core-utilization
Denver -> New York City,Jun,6.51,0.7812,core-utilization
Denver -> New York City,Mar,12.37,1.4844,core-utilization
Denver -> New York City,May,4.51,0.5412,core-utilization
Denver -> New York City,Nov,4.14,0.4968,core-utilization
Denver -> New York City,Oct,7.11,0.8532,core-utilization
Denver -> New York City,Sep,10.0,1.2,core-utilization
Denver -> North Florida,Apr,4.64,0.5568,core-utilization
Denver -> North Florida,Aug,8.27,0.9924,core-utilization
Denver -> North Florida,Dec,7.34,0.8808,core-utilization
Denver -> North Florida,Feb,10.82,1.2984,core-utilization
Denver -> North Florida,Jan,9.74,1.1688,core-utilization
Denver -> North Florida,Jul,9.89,1.1868,core-utilization
Denver -> North Florida,Jun,6.41,0.7692,core-utilization
Denver -> North Florida,Mar,13.29,1.5948,core-utilization
Denver -> North Florida,May,4.1,0.492,core-utilization
Denver -> North Florida,Nov,5.56,0.6672,core-utilization
Denver -> North Florida,Oct,10.9,1.308,core-utilization
Denver -> North Florida,Sep,9.04,1.0848,core-utilization
Denver -> Philadelphia,Apr,4.84,0.5808,core-utilization
Denver -> Philadelphia,Aug,11.56,1.3872,core-utilization
Denver -> Philadelphia,Dec,6.72,0.8064,core-utilization
Denver -> Philadelphia,Feb,9.06,1.0872,core-utilization
Denver -> Philadelphia,Jan,7.81,0.9372,core-utilization
Denver -> Philadelphia,Jul,10.47,1.2564,core-utilization
Denver -> Philadelphia,Jun,8.28,0.9936,core-utilization
Denver -> Philadelphia,Mar,12.19,1.4628,core-utilization
Denver -> Philadelphia,May,5.47,0.6564,core-utilization
Denver -> Philadelphia,Nov,5.16,0.6192,core-utilization
Denver -> Philadelphia,Oct,7.66,0.9192,core-utilization
Denver -> Philadelphia,Sep,10.78,1.2936,core-utilization
Denver -> Pittsburgh,Apr,5.92,0.7104,core-utilization
Denver -> Pittsburgh,Aug,10.41,1.2492,core-utilization
Denver -> Pittsburgh,Dec,6.82,0.8184,core-utilization
Denver -> Pittsburgh,Feb,11.49,1.3788,core-utilization
Denver -> Pittsburgh,Jan,8.26,0.9912,core-utilization
Denver -> Pittsburgh,Jul,11.67,1.4004,core-utilization
Denver -> Pittsburgh,Jun,7.54,0.9048,core-utilization
Denver -> Pittsburgh,Mar,7.72,0.9264,core-utilization
Denver -> Pittsburgh,May,4.13,0.4956,core-utilization
Denver -> Pittsburgh,Nov,5.57,0.6684,core-utilization
Denver -> Pittsburgh,Oct,6.82,0.8184,core-utilization
Denver -> Pittsburgh,Sep,13.64,1.6368,core-utilization
Denver -> San Antonio,Apr,5.31,0.6372,core-utilization
Denver -> San Antonio,Aug,13.27,1.5924,core-utilization
Denver -> San Antonio,Dec,7.08,0.8496,core-utilization
Denver -> San Antonio,Feb,4.87,0.5844,core-utilization
Denver -> San Antonio,Jan,11.06,1.3272,core-utilization
Denver -> San Antonio,Jul,15.04,1.8048,core-utilization
Denver -> San Antonio,Jun,10.18,1.2216,core-utilization
Denver -> San Antonio,Mar,10.18,1.2216,core-utilization
Denver -> San Antonio,May,3.98,0.4776,core-utilization
Denver -> San Antonio,Nov,2.65,0.318,core-utilization
Denver -> San Antonio,Oct,8.41,1.0092,core-utilization
Denver -> San Antonio,Sep,7.96,0.9552,core-utilization
Denver -> St. Louis,Apr,8.82,1.0584,core-utilization
Denver -> St. Louis,Aug,20.59,2.4708,core-utilization
Denver -> St. Louis,Dec,5.88,0.7056,core-utilization
Denver -> St. Louis,Feb,5.88,0.7056,core-utilization
Denver -> St. Louis,Jan,5.88,0.7056,core-utilization
Denver -> St. Louis,Jul,14.71,1.7652,core-utilization
Denver -> St. Louis,Jun,11.76,1.4112,core-utilization
Denver -> St. Louis,Mar,14.71,1.7652,core-utilization
Denver -> St. Louis,May,2.94,0.3528,core-utilization
Denver -> St. Louis,Nov,0.0,0.0,core-utilization
Denver -> St. Louis,Oct,2.94,0.3528,core-utilization
Denver -> St. Louis,Sep,5.88,0.7056,core-utilization
Detroit -> Denver,Apr,4.15,0.498,core-utilization
Detroit -> Denver,Aug,10.75,1.29,core-utilization
Detroit -> Denver,Dec,8.4,1.008,core-utilization
Detroit -> Denver,Feb,10.75,1.29,core-utilization
Detroit -> Denver,Jan,9.72,1.1664,core-utilization
Detroit -> Denver,Jul,12.26,1.4712,core-utilization
Detroit -> Denver,Jun,7.83,0.9396,core-utilization
Detroit -> Denver,Mar,10.0,1.2,core-utilization
Detroit -> Denver,May,5.28,0.6336,core-utilization
Detroit -> Denver,Nov,5.0,0.6,core-utilization
Detroit -> Denver,Oct,6.98,0.8376,core-utilization
Detroit -> Denver,Sep,8.87,1.0644,core-utilization
Detroit -> North Florida,Apr,0.0,0.0,core-utilization
Detroit -> North Florida,Aug,14.0,1.68,core-utilization
Detroit -> North Florida,Dec,22.0,2.64,core-utilization
Detroit -> North Florida,Feb,2.0,0.24,core-utilization
Detroit -> North Florida,Jan,10.0,1.2,core-utilization
Detroit -> North Florida,Jul,14.0,1.68,core-utilization
Detroit -> North Florida,Jun,4.0,0.48,core-utilization
Detroit -> North Florida,Mar,8.0,0.96,core-utilization
Detroit -> North Florida,May,6.0,0.72,core-utilization
Detroit -> North Florida,Nov,4.0,0.48,core-utilization
Detroit -> North Florida,Oct,4.0,0.48,core-utilization
Detroit -> North Florida,Sep,12.0,1.44,core-utilization
Houston -> Denver,Apr,4.25,0.51,core-utilization
Houston -> Denver,Aug,8.19,0.9828,core-utilization
Houston -> Denver,Dec,15.12,1.8144,core-utilization
Houston -> Denver,Feb,10.79,1.2948,core-utilization
Houston -> Denver,Jan,11.1,1.332,core-utilization
Houston -> Denver,Jul,9.45,1.134,core-utilization
Houston -> Denver,Jun,7.48,0.8976,core-utilization
Houston -> Denver,Mar,11.18,1.3416,core-utilization
Houston -> Denver,May,4.17,0.5004,core-utilization
Houston -> Denver,Nov,4.49,0.5388,core-utilization
Houston -> Denver,Oct,6.06,0.7272,core-utilization
Houston -> Denver,Sep,7.72,0.9264,core-utilization
LA Basin -> Denver,Apr,4.88,0.5856,core-utilization
LA Basin -> Denver,Aug,7.32,0.8784,core-utilization
LA Basin -> Denver,Dec,17.07,2.0484,core-utilization
LA Basin -> Denver,Feb,7.32,0.8784,core-utilization
LA Basin -> Denver,Jan,14.63,1.7556,core-utilization
LA Basin -> Denver,Jul,17.07,2.0484,core-utilization
LA Basin -> Denver,Jun,4.88,0.5856,core-utilization
LA Basin -> Denver,Mar,9.76,1.1712,core-utilization
LA Basin -> Denver,May,7.32,0.8784,core-utilization
LA Basin -> Denver,Nov,2.44,0.2928,core-utilization
LA Basin -> Denver,Oct,4.88,0.5856,core-utilization
LA Basin -> Denver,Sep,2.44,0.2928,core-utilization
Minneapolis -> Denver,Apr,4.52,0.5424,core-utilization
Minneapolis -> Denver,Aug,7.1,0.852,core-utilization
Minneapolis -> Denver,Dec,14.19,1.7028,core-utilization
Minneapolis -> Denver,Feb,14.84,1.7808,core-utilization
Minneapolis -> Denver,Jan,7.1,0.852,core-utilization
Minneapolis -> Denver,Jul,10.97,1.3164,core-utilization
Minneapolis -> Denver,Jun,11.61,1.3932,core-utilization
Minneapolis -> Denver,Mar,5.81,0.6972,core-utilization
Minneapolis -> Denver,May,5.16,0.6192,core-utilization
Minneapolis -> Denver,Nov,4.52,0.5424,core-utilization
Minneapolis -> Denver,Oct,8.39,1.0068,core-utilization
Minneapolis -> Denver,Sep,5.81,0.6972,core-utilization
Nashville -> Denver,Apr,3.87,0.4644,core-utilization
Nashville -> Denver,Aug,10.58,1.2696,core-utilization
Nashville -> Denver,Dec,9.03,1.0836,core-utilization
Nashville -> Denver,Feb,11.48,1.3776,core-utilization
Nashville -> Denver,Jan,10.58,1.2696,core-utilization
Nashville -> Denver,Jul,9.16,1.0992,core-utilization
Nashville -> Denver,Jun,8.26,0.9912,core-utilization
Nashville -> Denver,Mar,9.94,1.1928,core-utilization
Nashville -> Denver,May,5.29,0.6348,core-utilization
Nashville -> Denver,Nov,6.32,0.7584,core-utilization
Nashville -> Denver,Oct,7.48,0.8976,core-utilization
Nashville -> Denver,Sep,8.0,0.96,core-utilization
New York City -> Denver,Apr,4.14,0.4968,core-utilization
New York City -> Denver,Aug,11.43,1.3716,core-utilization
New York City -> Denver,Dec,12.8,1.536,core-utilization
New York City -> Denver,Feb,10.96,1.3152,core-utilization
New York City -> Denver,Jan,8.56,1.0272,core-utilization
New York City -> Denver,Jul,9.72,1.1664,core-utilization
New York City -> Denver,Jun,9.28,1.1136,core-utilization
New York City -> Denver,Mar,10.74,1.2888,core-utilization
New York City -> Denver,May,3.65,0.438,core-utilization
New York City -> Denver,Nov,4.17,0.5004,core-utilization
New York City -> Denver,Oct,6.67,0.8004,core-utilization
New York City -> Denver,Sep,7.89,0.9468,core-utilization
North Florida -> Denver,Apr,4.87,0.5844,core-utilization
North Florida -> Denver,Aug,7.54,0.9048,core-utilization
North Florida -> Denver,Dec,11.63,1.3956,core-utilization
North Florida -> Denver,Feb,10.29,1.2348,core-utilization
North Florida -> Denver,Jan,7.54,0.9048,core-utilization
North Florida -> Denver,Jul,9.58,1.1496,core-utilization
North Florida -> Denver,Jun,9.82,1.1784,core-utilization
North Florida -> Denver,Mar,10.37,1.2444,core-utilization
North Florida -> Denver,May,7.07,0.8484,core-utilization
North Florida -> Denver,Nov,6.83,0.8196,core-utilization
North Florida -> Denver,Oct,7.46,0.8952,core-utilization
North Florida -> Denver,Sep,6.99,0.8388,core-utilization
North Florida -> Seattle,Apr,5.85,0.702,core-utilization
North Florida -> Seattle,Aug,7.32,0.8784,core-utilization
North Florida -> Seattle,Dec,10.73,1.2876,core-utilization
North Florida -> Seattle,Feb,5.85,0.702,core-utilization
North Florida -> Seattle,Jan,5.85,0.702,core-utilization
North Florida -> Seattle,Jul,12.2,1.464,core-utilization
North Florida -> Seattle,Jun,13.17,1.5804,core-utilization
North Florida -> Seattle,Mar,11.71,1.4052,core-utilization
North Florida -> Seattle,May,8.78,1.0536,core-utilization
North Florida -> Seattle,Nov,6.83,0.8196,core-utilization
North Florida -> Seattle,Oct,4.88,0.5856,core-utilization
North Florida -> Seattle,Sep,6.83,0.8196,core-utilization
Philadelphia -> Denver,Apr,4.33,0.5196,core-utilization
Philadelphia -> Denver,Aug,12.06,1.4472,core-utilization
Philadelphia -> Denver,Dec,10.97,1.3164,core-utilization
Philadelphia -> Denver,Feb,8.5,1.02,core-utilization
Philadelphia -> Denver,Jan,7.26,0.8712,core-utilization
Philadelphia -> Denver,Jul,10.36,1.2432,core-utilization
Philadelphia -> Denver,Jun,9.12,1.0944,core-utilization
Philadelphia -> Denver,Mar,12.36,1.4832,core-utilization
Philadelphia -> Denver,May,5.72,0.6864,core-utilization
Philadelphia -> Denver,Nov,4.95,0.594,core-utilization
Philadelphia -> Denver,Oct,6.18,0.7416,core-utilization
Philadelphia -> Denver,Sep,8.19,0.9828,core-utilization
Pittsburgh -> Denver,Apr,3.99,0.4788,core-utilization
Pittsburgh -> Denver,Aug,9.9,1.188,core-utilization
Pittsburgh -> Denver,Dec,6.6,0.792,core-utilization
Pittsburgh -> Denver,Feb,9.9,1.188,core-utilization
Pittsburgh -> Denver,Jan,8.94,1.0728,core-utilization
Pittsburgh -> Denver,Jul,10.87,1.3044,core-utilization
Pittsburgh -> Denver,Jun,9.63,1.1556,core-utilization
Pittsburgh -> Denver,Mar,8.8,1.056,core-utilization
Pittsburgh -> Denver,May,5.78,0.6936,core-utilization
Pittsburgh -> Denver,Nov,5.91,0.7092,core-utilization
Pittsburgh -> Denver,Oct,7.57,0.9084,core-utilization
Pittsburgh -> Denver,Sep,12.1,1.452,core-utilization
San Antonio -> Denver,Apr,3.66,0.4392,core-utilization
San Antonio -> Denver,Aug,6.79,0.8148,core-utilization
San Antonio -> Denver,Dec,14.11,1.6932,core-utilization
San Antonio -> Denver,Feb,12.72,1.5264,core-utilization
San Antonio -> Denver,Jan,13.94,1.6728,core-utilization
San Antonio -> Denver,Jul,9.41,1.1292,core-utilization
San Antonio -> Denver,Jun,5.75,0.69,core-utilization
San Antonio -> Denver,Mar,13.41,1.6092,core-utilization
San Antonio -> Denver,May,3.83,0.4596,core-utilization
San Antonio -> Denver,Nov,2.61,0.3132,core-utilization
San Antonio -> Denver,Oct,5.4,0.648,core-utilization
San Antonio -> Denver,Sep,8.36,1.0032,core-utilization
San Antonio -> Minneapolis,Apr,7.94,0.9528,core-utilization
San Antonio -> Minneapolis,Aug,11.11,1.3332,core-utilization
San Antonio -> Minneapolis,Dec,15.87,1.9044,core-utilization
San Antonio -> Minneapolis,Feb,11.11,1.3332,core-utilization
San Antonio -> Minneapolis,Jan,7.94,0.9528,core-utilization
San Antonio -> Minneapolis,Jul,9.52,1.1424,core-utilization
San Antonio -> Minneapolis,Jun,12.7,1.524,core-utilization
San Antonio -> Minneapolis,Mar,1.59,0.1908,core-utilization
San Antonio -> Minneapolis,May,4.76,0.5712,core-utilization
San Antonio -> Minneapolis,Nov,6.35,0.762,core-utilization
San Antonio -> Minneapolis,Oct,4.76,0.5712,core-utilization
San Antonio -> Minneapolis,Sep,6.35,0.762,core-utilization
San Antonio -> South Florida,Apr,5.97,0.7164,core-utilization
San Antonio -> South Florida,Aug,12.69,1.5228,core-utilization
San Antonio -> South Florida,Dec,8.21,0.9852,core-utilization
San Antonio -> South Florida,Feb,5.22,0.6264,core-utilization
San Antonio -> South Florida,Jan,8.21,0.9852,core-utilization
San Antonio -> South Florida,Jul,14.18,1.7016,core-utilization
San Antonio -> South Florida,Jun,16.42,1.9704,core-utilization
San Antonio -> South Florida,Mar,7.46,0.8952,core-utilization
San Antonio -> South Florida,May,6.72,0.8064,core-utilization
San Antonio -> South Florida,Nov,5.97,0.7164,core-utilization
San Antonio -> South Florida,Oct,5.22,0.6264,core-utilization
San Antonio -> South Florida,Sep,3.73,0.4476,core-utilization
Seattle -> Phoenix Valley,Apr,4.17,0.5004,core-utilization
Seattle -> Phoenix Valley,Aug,13.54,1.6248,core-utilization
Seattle -> Phoenix Valley,Dec,5.21,0.6252,core-utilization
Seattle -> Phoenix Valley,Feb,6.25,0.75,core-utilization
Seattle -> Phoenix Valley,Jan,8.33,0.9996,core-utilization
Seattle -> Phoenix Valley,Jul,8.33,0.9996,core-utilization
Seattle -> Phoenix Valley,Jun,9.38,1.1256,core-utilization
Seattle -> Phoenix Valley,Mar,10.42,1.2504,core-utilization
Seattle -> Phoenix Valley,May,8.33,0.9996,core-utilization
Seattle -> Phoenix Valley,Nov,4.17,0.5004,core-utilization
Seattle -> Phoenix Valley,Oct,10.42,1.2504,core-utilization
Seattle -> Phoenix Valley,Sep,11.46,1.3752,core-utilization
South Florida -> Denver,Apr,5.53,0.6636,core-utilization
South Florida -> Denver,Aug,6.76,0.8112,core-utilization
South Florida -> Denver,Dec,13.35,1.602,core-utilization
South Florida -> Denver,Feb,12.74,1.5288,core-utilization
South Florida -> Denver,Jan,9.68,1.1616,core-utilization
South Florida -> Denver,Jul,8.14,0.9768,core-utilization
South Florida -> Denver,Jun,8.98,1.0776,core-utilization
South Florida -> Denver,Mar,15.67,1.8804,core-utilization
South Florida -> Denver,May,5.92,0.7104,core-utilization
South Florida -> Denver,Nov,4.76,0.5712,core-utilization
South Florida -> Denver,Oct,4.09,0.4908,core-utilization
South Florida -> Denver,Sep,4.38,0.5256,core-utilization
St. Louis -> Denver,Apr,4.27,0.5124,core-utilization
St. Louis -> Denver,Aug,7.83,0.9396,core-utilization
St. Louis -> Denver,Dec,8.54,1.0248,core-utilization
St. Louis -> Denver,Feb,16.01,1.9212,core-utilization
St. Louis -> Denver,Jan,17.79,2.1348,core-utilization
St. Louis -> Denver,Jul,8.19,0.9828,core-utilization
St. Louis -> Denver,Jun,9.25,1.11,core-utilization
